email,pass,lon,lat,type,status,first,last
test@test.com,123,-114.25,51.17,admin,a,Chevy,Ode
test1@test.com,456,-114.25,50.92,user,a,Patrick,Mat
test2@test.com,789,-114.25,50.89,admin,a,John,Wick
test3@test.com,12,-114.22,51.11,user,a,Chad,Chadders
test4@test.com,345,-114.21,50.97,user,a,Sylvando,Rodrigo
test5@test.com,678,-114.19,51.07,user,a,Jade,Helio
test6@test.com,901,-114.16,51,admin,a,Serena,Arboria
test7@test.com,234,-114.16,50.99,user,a,Baldwin,Jr
test8@test.com,567,-114.15,51.06,user,a,Ryan,Go
test9@test.com,890,-114.09,51.15,user,a,Geralt,Rivia
test10@test.com,1234,-114.08,50.96,admin,a,Aliston,Nackle
test11@test.com,5678,-114.05,51.01,user,a,Tom,Nook
test12@test.com,9012,-114.05,51.13,user,a,Ciri,Riannon
test13@test.com,3456,-114.01,51.09,admin,a,Yenn,Vengerberg
test14@test.com,7890,-113.99,51.02,user,a,Triss,Merigold
test15@test.com,12345,-113.92,51.02,user,a,Bradford,Sweater
test16@test.com,67890,-113.92,50.96,user,a,Veronica,Arboria
test17@test.com,123456,-113.92,50.88,user,b,Bandito,?
test18@test.com,789012,-113.92,51.13,user,b,Pirate,?
test19@test.com,345678,-113.92,51.07,user,b,Smuggler,?
